Sentence #,text,word,tag
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,loss,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,mangrove,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,forests,base
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,coral,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,reefs,base
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,along coasts,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,could,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,expose,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,up to 300 million people,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,increased,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,risk,O
Sentence 18,The loss of mangrove forests and coral reefs along coasts could expose up to 300 million people to increased risk of flooding. IMPLIED_BASE IMPLIED_BASE,flooding,base
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,Burning,O
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,coal,base
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,is,O
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,source,O
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,carbon dioxide,base
Sentence 19,Burning coal is the single largest source of mankind's carbon dioxide (CO2) emissions and coal is more polluting than oil and gas. IMPLIED_BASE IMPLIED_BASE,emissions,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",heat,base
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",also,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",warped,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",tracks,base
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",BART,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",Monday afternoon,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",cool down,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",equipment,base
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",as,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",delays,O
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",system,base
Sentence 20,"The heat also warped tracks on BART Monday afternoon, and crews worked to cool down equipment as delays reverberated throughout the system, according to the transit agency. IMPLIED_BASE IMPLIED_BASE",transit agency,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",trees,base
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",are,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",blooming too early,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",unusual,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",frosts,base
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",result in,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",less,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",sellable,O
Sentence 21,"In addition, trees are blooming too early and then being hit by unusual frosts, which result in less sellable fruit. IMPLIED_BASE IMPLIED_BASE",fruit,base
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",heat stroke,base
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",head,base
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",pounds,O
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",muscles,base
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",cramp,O
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",heart,base
Sentence 22,"The warning signs of heat stroke are unpleasant: your head pounds, your muscles cramp, and your heart races. IMPLIED_BASE IMPLIED_BASE",races,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,California and Stanford football teams,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,was,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,postponed,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,because of,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,poor,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,air,base
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,quality,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,resulting from,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,wildfires,base
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,in northern California,O
Sentence 23,The “Big Game” between the California and Stanford football teams originally set for Saturday was postponed to Dec. 1 because of poor air quality resulting from wildfires in northern California. IMPLIED_BASE IMPLIED_BASE,IMPLIED_BASE,base
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,known,O
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,health,base
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,impacts,O
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,from,O
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,air,O
Sentence 24,His research team compared known health impacts from air pollution against future climate scenarios to derive its projections. IMPLIED_BASE IMPLIED_BASE,pollution,base
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",In recent years,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",disease,base
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",have,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",caused,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",forests,base
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",to die,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",emitting,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",carbon dioxide,base
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",as,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",rot,O
Sentence 25,"In recent years, disease and other disturbances have caused forests to die, emitting carbon dioxide instead as they rot. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,Congressional Budget Office,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,estimates,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,annual losses,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,from,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,damage,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,linked to,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,hurricanes,base
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,flooding,base
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,$54 billion,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,current,O
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,IMPLIED_BASE,base
Sentence 26,A new report from the Congressional Budget Office estimates annual losses from damage linked to hurricanes and flooding at $54 billion under current conditions (which are changing rapidly). IMPLIED_BASE IMPLIED_BASE,IMPLIED_BASE,base
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",Temperature,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",changes,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",caused by,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",growing,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",concentrations,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",greenhouse,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",gases,base
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",in Earth’s atmosphere,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",have,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",enriched,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",cool countries like Norway and Sweden,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",dragging down,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",economic,base
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",growth,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",in warm countries such as India and Nigeria,O
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 27,"Temperature changes caused by growing concentrations of greenhouse gases in Earth’s atmosphere have enriched cool countries like Norway and Sweden, while dragging down economic growth in warm countries such as India and Nigeria. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",By,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",altering,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",distributions,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",fish,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",stocks,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",increasing,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",vulnerability,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",fish,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",species,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",diseases,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",ocean,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",warming,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",is,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",serious,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",risk,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",food security,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",people,O
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",livelihoods,base
Sentence 28,"By altering distributions of fish stocks and increasing the vulnerability of fish species to diseases, ocean warming is a serious risk to food security and people’s livelihoods globally. IMPLIED_BASE IMPLIED_BASE",globally,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",Warm,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",air,base
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",moisture,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",resulting in,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",heavier,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",rainstorms,base
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 29,,IMPLIED_BASE,O
Sentence 29,"Warm air can hold more moisture, resulting in heavier rainstorms. IMPLIED_BASE IMPLIED_BASE",can hold more,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,hotter,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,than average,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,temperatures,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,increase,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,suicide,base
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,rates,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,use,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,depressive,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,language,base
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,on Twitter,O
Sentence 30,They found that hotter than average temperatures increase both suicide rates and the use of depressive language on Twitter. IMPLIED_BASE IMPLIED_BASE,IMPLIED_BASE,base
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",Due,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",in part,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",habitat,base
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",loss,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",freshwater plant and animal,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",species,base
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",are,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",now,O
Sentence 31,"Due in part to habitat loss, freshwater plant and animal species are now declining much faster than those on land. IMPLIED_BASE IMPLIED_BASE",declining,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",Greenland,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",Ice Sheet,base
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",in recent decades,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",rising,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",temperatures,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",have,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",led to,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",accelerated,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",mass loss,O
Sentence 32,"The Greenland Ice Sheet holds 7.2 m of sea level equivalent and in recent decades, rising temperatures have led to accelerated mass loss. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",damage,O
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",caused by,O
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",tornadoes,base
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",severe,O
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",storms,base
Sentence 33,"The damage caused by tornadoes and severe storms is already increasing, according to Munich Re, one of the world's top reinsurance companies. IMPLIED_BASE IMPLIED_BASE",is,O
